inside DefaultArgs : assigning default args
Network type:  uni
generating connection probabilities, NE, NI, K, thetaSig 1000 1000 100 0.75
generating  connectivity matrix... done!
Generating sparse representation ... done!
npost sum = 400891
convec sum =  400891
         125753 function calls (121864 primitive calls) in 0.639 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       18    0.000    0.000    0.000    0.000 pyparsing.py:134(_str2dict)
       16    0.000    0.000    0.001    0.000 abc.py:86(__new__)
       64    0.000    0.000    0.042    0.001 sre_compile.py:495(compile)
        1    0.000    0.000    0.000    0.000 tkagg.py:1(<module>)
        1    0.000    0.000    0.000    0.000 iterative.py:1(<module>)
      855    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
       64    0.000    0.000    0.020    0.000 sre_parse.py:663(parse)
      138    0.000    0.000    0.001    0.000 cm.py:56(_generate_cmap)
        1    0.000    0.000    0.000    0.000 blas.py:5(<module>)
        1    0.000    0.000    0.003    0.003 urlparse.py:29(<module>)
      389    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
     1736    0.000    0.000    0.000    0.000 {chr}
        1    0.000    0.000    0.000    0.000 runner.py:1(<module>)
        1    0.000    0.000    0.001    0.001 basic.py:6(<module>)
  142/140    0.000    0.000    0.000    0.000 pyparsing.py:263(__init__)
      129    0.000    0.000    0.000    0.000 posixpath.py:80(split)
        1    0.000    0.000    0.000    0.000 __init__.py:10(<module>)
      101    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       64    0.000    0.000    0.005    0.000 glob.py:49(glob1)
        1    0.000    0.000    0.001    0.001 __init__.py:20(<module>)
      394    0.000    0.000    0.000    0.000 {method 'mro' of 'type' objects}
      862    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
    25/16    0.000    0.000    0.001    0.000 abc.py:148(__subclasscheck__)
        1    0.000    0.000    0.000    0.000 records.py:36(<module>)
       74    0.000    0.000    0.027    0.000 glob.py:10(glob)
        1    0.000    0.000    0.000    0.000 triangulate.py:1(<module>)
        1    0.000    0.000    0.001    0.001 polynomial.py:55(<module>)
      163    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      108    0.000    0.000    0.000    0.000 posixpath.py:118(dirname)
        1    0.000    0.000    0.000    0.000 patches.py:2768(ArrowStyle)
      138    0.000    0.000    0.000    0.000 colors.py:474(__init__)
      157    0.000    0.000    0.004    0.000 docstring.py:83(dedent)
        1    0.000    0.000    0.003    0.003 lines.py:4(<module>)
     26/1    0.000    0.000    0.029    0.029 _import_tools.py:51(_init_info_modules)
        1    0.000    0.000    0.000    0.000 shutil.py:5(<module>)
      477    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       40    0.000    0.000    0.001    0.000 copy.py:306(_reconstruct)
        1    0.000    0.000    0.043    0.043 type_check.py:3(<module>)
      144    0.000    0.000    0.000    0.000 sre_parse.py:257(_escape)
       13    0.000    0.000    0.000    0.000 path.py:86(__init__)
      394    0.000    0.000    0.001    0.000 glob.py:77(has_magic)
        1    0.000    0.000    0.003    0.003 csr.py:1(<module>)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
        3    0.000    0.000    0.000    0.000 numeric.py:351(extend_all)
       10    0.000    0.000    0.001    0.000 colors.py:692(from_list)
        1    0.000    0.000    0.000    0.000 opcode.py:5(<module>)
        1    0.000    0.000    0.000    0.000 _exceptions.py:1(<module>)
        4    0.000    0.000    0.000    0.000 ctypeslib.py:192(ndpointer)
      435    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
     30/2    0.000    0.000    0.003    0.002 pyparsing.py:2290(parseImpl)
        1    0.000    0.000    0.001    0.001 numerictypes.py:305(_add_aliases)
        6    0.000    0.000    0.000    0.000 patches.py:1496(_pprint_table)
      394    0.000    0.000    0.000    0.000 artist.py:895(aliased_name)
       14    0.000    0.000    0.000    0.000 {eval}
        1    0.000    0.000    0.000    0.000 process.py:35(<module>)
        1    0.000    0.000    0.000    0.000 backend_tkagg.py:126(FigureCanvasTkAgg)
        1    0.000    0.000    0.000    0.000 quiver.py:15(<module>)
       59    0.000    0.000    0.000    0.000 inspect.py:743(getargs)
        1    0.000    0.000    0.001    0.001 main.py:1(<module>)
        1    0.000    0.000    0.000    0.000 util.py:35(<module>)
     1151    0.000    0.000    0.000    0.000 {ord}
